Day,Time,Group,Food Name,Amount,Energy (kcal),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Choline (mg),Folate (µg),Retinol (µg),Vitamin A (IU),Vitamin C (mg),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2020-05-03,,Drinks,"Jasmine Tea","600.00 g",6.00,0.04,0.35,0.18,0.07,0.03,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.02,0.12,6.00,1.10,0.00,48.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,"Beverages"
2020-05-03,11:31 AM,Breakfast,"Eggs, Cooked","158.00 g",244.90,0.10,0.81,0.10,2.21,0.19,1.75,464.20,69.52,233.84,821.60,0.00,1.63,0.47,79.00,0.02,1.88,15.80,0.04,271.76,199.08,48.66,1.66,1.77,0.00,0.00,0.00,1.77,1.77,16.76,589.34,0.11,2.11,2.23,5.16,1.11,1.19,2.00,0.46,2.60,0.67,0.47,,1.08,1.70,1.43,0.62,1.06,0.79,19.88,1.48,0.95,0.24,0.81,1.21,"Dairy and Egg Products"
2020-05-03,,Breakfast,"Soup, Stock, Beef, Home-Prepared","231.00 g",30.03,0.08,0.21,2.01,,0.13,,11.09,4.62,,,,0.02,0.23,18.48,0.12,0.62,16.17,,71.61,427.35,2.77,0.39,2.77,,,,1.25,2.77,0.21,,,0.01,0.01,0.08,,,,,,,,,,,,,,,4.55,,,,,,"Soups, Sauces, and Gravies"
2020-05-03,,Breakfast,"Fat, mutton tallow","6.00 g",54.12,,,,,,,4.79,,,,,0.17,,,,,,,,,0.01,,,,,,,,6.00,6.12,0.14,0.33,0.47,2.84,,,,,,,,,,,,,,,,,,,,,"Fats and Oils"
2020-05-03,3:30 PM,Breakfast,"Garlic, Fresh","5.00 g",7.45,0.01,0.01,0.03,0.03,0.06,0.00,1.16,0.15,0.00,0.45,1.56,0.00,0.09,9.05,0.01,0.09,1.25,0.08,7.65,20.05,0.71,0.06,1.65,0.11,0.02,1.26,0.05,1.55,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.03,0.02,0.00,0.04,0.01,0.01,,0.01,0.02,0.01,0.00,0.01,0.01,0.32,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2020-05-03,4:53 PM,Breakfast,"Salt","6.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.02,0.06,0.01,0.00,0.48,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-03,3:26 PM,Breakfast,"Turmeric, Ground","1.00 g",3.12,0.00,0.00,0.01,0.01,0.00,0.00,0.49,0.20,0.00,0.00,0.01,0.04,0.13,1.68,0.01,0.55,2.08,0.20,2.99,20.80,0.06,0.05,0.67,0.23,0.00,0.41,0.03,0.44,0.03,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.02,0.00,0.01,0.00,0.00,,0.00,0.01,0.00,0.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.01,"Spices and Herbs"
2020-05-03,4:54 PM,Breakfast,"Black Pepper, Ground","0.20 g",0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,1.09,0.00,0.00,0.33,0.89,0.00,0.02,0.34,0.03,0.32,2.66,0.01,0.00,0.13,0.05,0.00,0.08,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-03,,Breakfast,"Sainsbury's Organic Mixed Herbs","0.20 g",0.57,0.00,0.00,0.01,0.00,0.00,,0.09,0.52,,9.34,0.08,0.02,2.40,3.48,0.00,0.13,0.64,0.01,0.40,2.50,0.01,0.01,0.13,0.08,0.00,0.04,0.01,0.05,0.02,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,"Spices and Herbs"
2020-05-03,,Breakfast,"Celery, Raw","124.00 g",17.36,0.03,0.07,0.40,0.31,0.09,0.00,7.56,44.64,0.00,556.76,3.84,0.32,35.96,49.60,0.04,0.25,13.64,0.13,29.76,322.40,0.50,0.16,3.68,1.98,0.46,0.00,1.66,1.70,0.21,0.00,0.00,0.10,0.10,0.05,0.03,0.02,0.15,0.00,0.11,0.03,0.01,,0.03,0.04,0.03,0.01,0.02,0.02,0.86,0.02,0.02,0.01,0.01,0.03,"Vegetables and Vegetable Products"
